NOME,IDADE,CPF,CIDADE,ESTADO,PAIS,CPF
joao,21,0,joao,-21,-42,joao
ana,22,1,ana,-20,-41,ana
pedro,10,2,pedro,-6,-14,pedro
joao,"6,666666667",3,joao,"-0,6666666667","-4,333333333",joao
ana,"1,166666667",4,ana,"6,833333333","9,666666667",ana
pedro,"-4,333333333",5,pedro,"14,33333333","23,66666667",pedro
joao,"-9,833333333",6,joao,"21,83333333","37,66666667",joao
ana,"-15,33333333",7,ana,"29,33333333","51,66666667",ana
pedro,"-20,83333333",8,pedro,"36,83333333","65,66666667",pedro
joao,"-26,33333333",9,joao,"44,33333333","79,66666667",joao
ana,"-31,83333333",10,ana,"51,83333333","93,66666667",ana
pedro,"-37,33333333",11,pedro,"59,33333333","107,6666667",pedro
joao,"-42,83333333",12,joao,"66,83333333","121,6666667",joao
ana,"-48,33333333",13,ana,"74,33333333","135,6666667",ana
pedro,"-53,83333333",14,pedro,"81,83333333","149,6666667",pedro
joao,"-59,33333333",15,joao,"89,33333333","163,6666667",joao
ana,"-64,83333333",16,ana,"96,83333333","177,6666667",ana
pedro,"-70,33333333",17,pedro,"104,3333333","191,6666667",pedro
joao,"-75,83333333",18,joao,"111,8333333","205,6666667",joao
ana,"-81,33333333",19,ana,"119,3333333","219,6666667",ana
pedro,"-86,83333333",20,pedro,"126,8333333","233,6666667",pedro
joao,"-92,33333333",21,joao,"134,3333333","247,6666667",joao
ana,"-97,83333333",22,ana,"141,8333333","261,6666667",ana
pedro,"-103,3333333",23,pedro,"149,3333333","275,6666667",pedro
joao,"-108,8333333",24,joao,"156,8333333","289,6666667",joao
ana,"-114,3333333",25,ana,"164,3333333","303,6666667",ana
pedro,"-119,8333333",26,pedro,"171,8333333","317,6666667",pedro
joao,"-125,3333333",27,joao,"179,3333333","331,6666667",joao
ana,"-130,8333333",28,ana,"186,8333333","345,6666667",ana
pedro,"-136,3333333",29,pedro,"194,3333333","359,6666667",pedro
